hive,day,hour,temp,humid,weight,file_size,workers_avg,drones_avg,total,ratio,workers_array,drones_array
AppMAIS14L,2023-04-22,09,91.22,52.7,0.01,12972972,13.4,0.8,14.200000000000001,16.75,"[15, 14, 14, 13, 11]","[0, 1, 0, 1, 2]"
AppMAIS14L,2023-04-22,17,91.76,51.7,0.0,80635583,21.0,0.8,21.8,26.25,"[5, 25, 24, 24, 27]","[1, 2, 0, 0, 1]"
AppMAIS14L,2023-04-23,09,86.9,51.3,0.0,8404942,3.6,0.4,4.0,9.0,"[3, 4, 4, 3, 4]","[1, 0, 0, 1, 0]"
AppMAIS14L,2023-04-23,11,92.48,50.8,0.0,19629878,9.4,0.4,9.8,23.5,"[10, 9, 9, 10, 9]","[1, 0, 0, 0, 1]"
AppMAIS14L,2023-04-23,13,93.2,49.8,0.0,21006337,6.2,0.8,7.0,7.75,"[6, 7, 6, 7, 5]","[1, 1, 1, 0, 1]"
AppMAIS14L,2023-04-23,15,93.56,50.6,0.0,29277400,10.0,0.2,10.2,50.0,"[9, 9, 11, 10, 11]","[0, 0, 0, 1, 0]"
AppMAIS14L,2023-04-23,17,93.38,48.2,0.0,26426539,16.4,0.6,17.0,27.33,"[19, 15, 17, 14, 17]","[0, 1, 0, 1, 1]"
AppMAIS14L,2023-04-24,13,87.26,45.4,0.0,28428893,6.8,0.2,7.0,34.0,"[8, 7, 8, 4, 7]","[0, 1, 0, 0, 0]"
AppMAIS14L,2023-04-24,15,88.34,43.8,0.0,49035800,16.6,1.4,18.0,11.86,"[19, 18, 14, 16, 16]","[1, 2, 1, 1, 2]"
AppMAIS14L,2023-04-25,19,86.9,44.7,0.0,5556611,0.6,0.4,1.0,1.5,"[1, 1, 1, 0, 0]","[1, 1, 0, 0, 0]"
AppMAIS14L,2023-04-26,13,92.84,49.1,0.0,55709837,20.4,0.8,21.2,25.5,"[23, 22, 18, 21, 18]","[0, 1, 0, 1, 2]"
AppMAIS14L,2023-04-26,15,93.56,48.8,0.0,86005013,24.8,2.4,27.2,10.33,"[21, 26, 21, 27, 29]","[2, 3, 2, 3, 2]"
AppMAIS14L,2023-04-26,17,94.46,52.3,0.0,35623018,4.8,0.4,5.2,12.0,"[1, 1, 3, 10, 9]","[1, 0, 0, 1, 0]"
AppMAIS14L,2023-04-27,09,89.24,47.8,0.0,8234352,4.2,0.2,4.4,21.0,"[4, 4, 5, 4, 4]","[0, 0, 1, 0, 0]"
AppMAIS14L,2023-04-27,11,93.02,49.6,0.0,28947539,13.6,0.4,14.0,34.0,"[13, 15, 11, 14, 15]","[0, 0, 1, 0, 1]"
AppMAIS14L,2023-04-27,13,94.1,51.3,0.0,73921496,18.8,1.4,20.2,13.43,"[23, 13, 15, 18, 25]","[1, 1, 1, 3, 1]"
AppMAIS14L,2023-04-27,15,100.76,49.1,0.0,66412813,22.4,1.6,24.0,14.0,"[24, 19, 23, 24, 22]","[1, 2, 3, 1, 1]"
AppMAIS14L,2023-04-27,17,99.68,47.1,0.0,37004640,13.6,1.4,15.0,9.71,"[3, 18, 17, 16, 14]","[0, 1, 3, 2, 1]"
AppMAIS14L,2023-04-27,19,95.9,42.5,0.0,18759438,11.2,1.6,12.799999999999999,7.0,"[14, 11, 9, 9, 13]","[0, 2, 2, 2, 2]"
AppMAIS14L,2023-04-28,09,87.98,49.7,0.0,50736928,22.2,1.0,23.2,22.2,"[23, 22, 23, 23, 20]","[0, 2, 0, 1, 2]"
AppMAIS14L,2023-04-28,11,93.38,46.0,0.0,32832199,19.6,0.6,20.200000000000003,32.67,"[20, 21, 18, 19, 20]","[1, 0, 0, 0, 2]"
AppMAIS14L,2023-04-28,13,93.02,41.8,0.0,50362675,14.6,0.4,15.0,36.5,"[15, 15, 12, 16, 15]","[0, 1, 0, 1, 0]"
AppMAIS14L,2023-04-28,15,93.38,47.8,0.0,84000013,12.8,0.6,13.4,21.33,"[14, 8, 7, 11, 24]","[0, 0, 2, 0, 1]"
AppMAIS14L,2023-04-28,17,89.78,45.8,0.0,21592784,7.4,0.4,7.800000000000001,18.5,"[9, 10, 6, 4, 8]","[0, 0, 0, 1, 1]"
AppMAIS14L,2023-04-28,19,90.5,44.5,0.0,10182142,2.2,0.4,2.6,5.5,"[2, 3, 2, 2, 2]","[1, 1, 0, 0, 0]"
AppMAIS14L,2023-04-29,09,89.06,47.8,0.0,2925745,0.6,0.2,0.8,3.0,"[1, 0, 0, 0, 2]","[0, 0, 0, 1, 0]"
AppMAIS14L,2023-04-29,11,89.6,50.2,0.0,8111864,5.0,0.4,5.4,12.5,"[8, 6, 4, 3, 4]","[0, 1, 1, 0, 0]"
AppMAIS14L,2023-04-29,13,89.96,44.0,0.0,69691983,19.8,2.4,22.2,8.25,"[24, 18, 22, 20, 15]","[2, 4, 2, 3, 1]"
AppMAIS14L,2023-04-29,15,88.88,50.8,0.0,55076782,19.6,0.8,20.400000000000002,24.5,"[13, 23, 24, 20, 18]","[2, 0, 1, 0, 1]"
AppMAIS14L,2023-04-29,19,89.78,45.4,0.0,21309337,8.8,0.8,9.600000000000001,11.0,"[12, 10, 7, 7, 8]","[0, 0, 1, 1, 2]"
AppMAIS14L,2023-04-30,09,89.96,49.2,0.0,15907365,3.6,1.6,5.2,2.25,"[2, 2, 5, 4, 5]","[2, 1, 2, 1, 2]"
AppMAIS14L,2023-04-30,11,90.14,54.6,0.0,43848274,15.8,1.6,17.400000000000002,9.88,"[15, 16, 14, 14, 20]","[1, 0, 0, 5, 2]"
AppMAIS14L,2023-04-30,13,90.68,53.7,0.0,49945178,17.8,5.2,23.0,3.42,"[18, 23, 16, 15, 17]","[5, 4, 6, 6, 5]"
AppMAIS14L,2023-04-30,15,94.46,56.8,0.0,68982840,31.2,4.4,35.6,7.09,"[36, 35, 33, 25, 27]","[6, 3, 4, 5, 4]"
AppMAIS14L,2023-04-30,17,94.46,53.7,0.0,41976749,16.4,0.4,16.799999999999997,41.0,"[19, 22, 16, 14, 11]","[0, 0, 1, 1, 0]"
AppMAIS14L,2023-04-30,19,96.08,51.6,0.0,43567903,24.2,1.4,25.599999999999998,17.29,"[23, 24, 23, 23, 28]","[1, 3, 1, 2, 0]"
AppMAIS14L,2023-05-01,09,90.68,46.5,0.0,18788362,7.0,0.4,7.4,17.5,"[6, 7, 7, 8, 7]","[0, 0, 0, 0, 2]"
AppMAIS14L,2023-05-01,11,90.32,48.0,0.01,34221906,17.0,2.2,19.2,7.73,"[19, 18, 16, 18, 14]","[0, 2, 1, 4, 4]"
AppMAIS14L,2023-05-01,13,90.68,51.8,0.0,41026337,14.2,1.8,16.0,7.89,"[15, 16, 16, 11, 13]","[1, 1, 2, 2, 3]"
AppMAIS14L,2023-05-01,15,91.04,45.7,0.0,48083537,8.4,4.2,12.600000000000001,2.0,"[7, 10, 8, 8, 9]","[4, 3, 5, 4, 5]"
AppMAIS14L,2023-05-01,17,90.68,45.5,0.0,33242446,12.8,0.4,13.200000000000001,32.0,"[15, 13, 14, 13, 9]","[0, 0, 0, 0, 2]"
AppMAIS14L,2023-05-01,19,94.46,50.9,0.0,46273580,11.4,0.4,11.8,28.5,"[3, 13, 13, 13, 15]","[0, 1, 0, 0, 1]"
AppMAIS14L,2023-05-02,09,90.32,41.2,0.0,4408259,2.6,0.6,3.2,4.33,"[3, 3, 2, 2, 3]","[1, 0, 0, 1, 1]"
AppMAIS14L,2023-05-02,11,90.5,36.9,0.0,31623809,10.0,2.6,12.6,3.85,"[13, 9, 8, 11, 9]","[0, 2, 5, 0, 6]"
AppMAIS14L,2023-05-02,13,94.1,50.6,0.0,36287066,12.2,2.0,14.2,6.1,"[15, 14, 14, 12, 6]","[3, 1, 2, 1, 3]"
AppMAIS14L,2023-05-03,09,94.82,42.1,0.0,7111697,1.4,1.8,3.2,0.78,"[0, 0, 2, 2, 3]","[3, 2, 2, 1, 1]"
AppMAIS14L,2023-05-03,11,94.28,44.4,0.0,19606460,6.2,2.4,8.6,2.58,"[3, 4, 6, 6, 12]","[5, 2, 2, 2, 1]"
AppMAIS14L,2023-05-03,13,94.82,47.0,0.0,34519872,14.0,1.2,15.2,11.67,"[18, 12, 14, 11, 15]","[0, 2, 2, 1, 1]"
AppMAIS14L,2023-05-03,15,96.26,48.7,0.0,45610416,21.6,2.8,24.400000000000002,7.71,"[19, 20, 23, 23, 23]","[3, 2, 2, 2, 5]"
AppMAIS14L,2023-05-03,17,95.72,49.8,0.0,54528194,17.8,1.2,19.0,14.83,"[1, 23, 21, 25, 19]","[0, 1, 2, 2, 1]"
AppMAIS14L,2023-05-03,19,95.72,45.8,0.0,62446906,20.6,0.8,21.400000000000002,25.75,"[10, 21, 24, 24, 24]","[0, 0, 1, 2, 1]"
AppMAIS14L,2023-05-04,09,94.1,42.1,,16550920,4.0,1.2,5.2,3.33,"[2, 4, 5, 5, 4]","[2, 1, 0, 2, 1]"
AppMAIS14L,2023-05-04,11,93.74,47.7,0.0,32201957,11.0,1.4,12.4,7.86,"[11, 13, 9, 12, 10]","[1, 0, 2, 2, 2]"
AppMAIS14L,2023-05-04,13,94.28,48.3,0.0,38425097,11.6,2.6,14.2,4.46,"[15, 12, 10, 11, 10]","[3, 3, 2, 2, 3]"
AppMAIS14L,2023-05-04,15,94.64,49.9,0.0,41339097,17.6,1.4,19.0,12.57,"[23, 14, 18, 16, 17]","[0, 2, 2, 1, 2]"
AppMAIS14L,2023-05-04,19,94.28,46.1,0.0,43275092,25.0,0.2,25.2,125.0,"[25, 24, 27, 24, 25]","[0, 1, 0, 0, 0]"
AppMAIS14L,2023-05-05,09,94.1,44.8,0.0,16681961,11.4,2.2,13.600000000000001,5.18,"[10, 9, 12, 13, 13]","[2, 2, 2, 2, 3]"
AppMAIS14L,2023-05-05,11,94.1,44.5,0.0,27588842,12.0,0.8,12.8,15.0,"[14, 12, 10, 11, 13]","[0, 0, 2, 0, 2]"
AppMAIS14L,2023-05-05,13,94.46,44.1,0.0,37225596,28.2,2.6,30.8,10.85,"[31, 30, 28, 26, 26]","[2, 3, 3, 3, 2]"
AppMAIS14L,2023-05-05,15,94.1,45.9,0.0,34239433,11.0,3.6,14.6,3.06,"[12, 9, 12, 10, 12]","[2, 5, 4, 5, 2]"
AppMAIS14L,2023-05-05,17,94.28,46.8,0.02,57488544,15.2,1.0,16.2,15.2,"[1, 19, 22, 17, 17]","[0, 0, 1, 4, 0]"
AppMAIS14L,2023-05-05,19,94.46,47.8,0.0,55972168,19.6,1.0,20.6,19.6,"[6, 22, 24, 24, 22]","[0, 0, 1, 2, 2]"
AppMAIS14L,2023-05-06,09,94.1,44.1,0.0,16328732,9.6,1.0,10.6,9.6,"[10, 11, 9, 9, 9]","[1, 1, 2, 1, 0]"
AppMAIS14L,2023-05-06,11,94.28,47.5,0.0,33645801,9.0,1.6,10.6,5.62,"[11, 8, 8, 11, 7]","[0, 2, 2, 1, 3]"
AppMAIS14L,2023-05-06,13,94.64,49.6,0.0,28280311,12.4,0.4,12.8,31.0,"[16, 12, 9, 12, 13]","[0, 0, 0, 1, 1]"
AppMAIS14L,2023-05-06,15,94.46,48.8,0.0,32209626,6.2,1.4,7.6,4.43,"[5, 4, 7, 8, 7]","[0, 2, 1, 1, 3]"
AppMAIS14L,2023-05-06,17,94.46,49.5,0.0,41955827,21.0,4.0,25.0,5.25,"[21, 23, 20, 22, 19]","[4, 4, 4, 3, 5]"
AppMAIS14L,2023-05-06,19,94.82,49.3,0.0,35549034,19.2,1.8,21.0,10.67,"[21, 20, 20, 18, 17]","[2, 0, 3, 1, 3]"
AppMAIS14L,2023-05-07,09,94.64,46.1,0.0,31477800,37.8,2.0,39.8,18.9,"[39, 39, 37, 37, 37]","[1, 2, 2, 2, 3]"
