hive,day,hour,temp,humid,weight,file_size,workers_avg,drones_avg,total,ratio,workers_array,drones_array
AppMAIS14R,2023-04-22,09,93.02,51.1,0.0,16502363,24.6,1.2,25.8,20.5,"[26, 24, 22, 26, 25]","[1, 1, 2, 1, 1]"
AppMAIS14R,2023-04-22,17,92.12,53.2,0.0,74547339,27.4,2.0,29.4,13.7,"[6, 33, 34, 37, 27]","[3, 2, 2, 2, 1]"
AppMAIS14R,2023-04-23,15,92.66,55.9,0.0,43716038,21.6,0.4,22.0,54.0,"[25, 19, 21, 18, 25]","[0, 0, 0, 1, 1]"
AppMAIS14R,2023-04-23,17,92.48,54.1,0.0,17614590,21.6,1.0,22.6,21.6,"[20, 18, 22, 24, 24]","[2, 2, 1, 0, 0]"
AppMAIS14R,2023-04-24,13,90.14,51.2,0.0,31894918,14.4,0.4,14.8,36.0,"[15, 16, 19, 12, 10]","[0, 1, 0, 1, 0]"
AppMAIS14R,2023-04-24,15,90.86,56.0,0.0,46233675,21.2,0.6,21.8,35.33,"[18, 19, 21, 24, 24]","[0, 0, 1, 0, 2]"
AppMAIS14R,2023-04-24,19,89.96,54.7,0.0,17287811,10.8,0.2,11.0,54.0,"[10, 12, 11, 10, 11]","[1, 0, 0, 0, 0]"
AppMAIS14R,2023-04-26,13,93.56,58.2,0.0,58077959,21.4,1.8,23.2,11.89,"[21, 24, 19, 22, 21]","[1, 1, 2, 2, 3]"
AppMAIS14R,2023-04-26,15,92.84,57.2,0.0,57763130,19.2,0.8,20.0,24.0,"[16, 17, 21, 20, 22]","[1, 1, 1, 1, 0]"
AppMAIS14R,2023-04-26,17,94.28,58.7,0.0,34858619,13.0,0.2,13.2,65.0,"[13, 11, 13, 14, 14]","[0, 0, 1, 0, 0]"
AppMAIS14R,2023-04-27,13,94.28,57.1,0.0,54091604,20.2,1.6,21.8,12.62,"[19, 21, 24, 20, 17]","[2, 1, 3, 1, 1]"
AppMAIS14R,2023-04-27,15,94.64,56.9,0.0,75283893,31.2,2.6,33.8,12.0,"[34, 33, 29, 31, 29]","[4, 1, 2, 3, 3]"
AppMAIS14R,2023-04-27,17,94.64,60.5,0.0,57675972,20.6,1.0,21.6,20.6,"[14, 22, 28, 21, 18]","[2, 1, 0, 2, 0]"
AppMAIS14R,2023-04-28,09,91.04,41.3,0.0,51601787,39.6,0.6,40.2,66.0,"[39, 38, 40, 41, 40]","[0, 1, 1, 0, 1]"
AppMAIS14R,2023-04-28,13,93.74,49.4,0.0,21816488,8.4,0.2,8.6,42.0,"[7, 9, 8, 8, 10]","[0, 0, 0, 0, 1]"
AppMAIS14R,2023-04-28,15,93.56,50.4,0.0,41831435,19.2,0.2,19.4,96.0,"[22, 22, 20, 16, 16]","[0, 0, 1, 0, 0]"
AppMAIS14R,2023-04-29,09,93.2,55.0,0.0,5267145,2.0,0.2,2.2,10.0,"[2, 2, 2, 2, 2]","[1, 0, 0, 0, 0]"
AppMAIS14R,2023-04-29,13,94.46,56.3,0.0,63315933,27.0,1.2,28.2,22.5,"[22, 29, 26, 31, 27]","[1, 1, 1, 1, 2]"
AppMAIS14R,2023-04-29,15,93.56,44.8,0.0,50518085,24.8,0.8,25.6,31.0,"[27, 22, 21, 29, 25]","[0, 1, 2, 1, 0]"
AppMAIS14R,2023-04-29,17,94.64,60.1,0.0,45889243,18.4,2.2,20.599999999999998,8.36,"[14, 17, 21, 19, 21]","[2, 3, 3, 2, 1]"
